"Distancia (kilómetros)","San Juan del Rio","Santiago de Querétaro","Tequisquiapan","Santa Rosa Jauregui","Jalpan de Serra","Ezequiel Montes","Cadereyta de Montes","Parque Industrial Queretaro","Cumbres del Lago","San Miguel","Viñedos","Loma Blanca","El Romeral","La Cuesta de los Ibarra","La Tecozautla"
"San Juan del Rio","","53","21","72","181","37","49","72","73","64","66","138","66","137","135"
"Santiago de Querétaro","53","","62","21","186","62","72","31","21","27","15","144","14","143","136"
"Tequisquiapan","20","62","","76","162","18","30","76","82","56","75","118","75","118","116"
"Santa Rosa Jauregui","73","21","81","","206","81","92","12","8","25","24","124","34","124","117"
"Jalpan de Serra","178","185","159","199","","142","137","199","206","180","199","107","199","107","105"
"Ezequiel Montes","36","62","17","76","145","","13","76","82","57","75","102","75","101","99"
"Cadereyta de Montes","49","72","30","86","137","13","","86","92","67","85","94","85","93","91"
"Parque Industrial Queretaro","73","33","81","13","205","81","92","","23","20","35","114","43","113","107"
"Cumbres del Lago","72","20","80","10","204","80","91","19","","32","19","131","28","130","124"
"San Miguel","64","29","57","23","181","57","68","20","30","","34","141","43","140","133"
"Viñedos","67","15","75","21","200","75","86","34","18","35","","147","12","146","139"
"Loma Blanca","135","144","116","124","107","99","94","117","134","142","146","","154","3","6"
"El Romeral","69","15","77","34","201","77","88","42","27","43","12","155","","154","148"
"La Cuesta de los Ibarra","134","144","115","123","107","98","93","116","133","141","145","3","153","","5"
"La Tecozautla","132","137","113","116","105","96","91","109","126","134","138","6","147","5",""
"","","","","","","","","","","","","","","",""
"Cuadro de kilometraje entre Querétaro ciudades: ","","","","","","","","","","","","","","",""
"https://mx.mejoresrutas.com/tabla-de-distancias/mx-queretaro/","","","","","","","","","","","","","","",""
